Freq,f_O,f_X,Flux,a_O,a_X,e_O,e_X,rc,Q,V
6.8708632,87.557333,67.286262,154.84360,1.6475020e-07,3.9069081e-06,1.9535247e-16,3.5600821e-15,-0.13091321,-3.4495575e-19,1.9975407e-18
7.0309060,106.83126,56.847774,163.67903,6.3271911e-08,7.1520721e-06,9.1703626e-17,5.5061211e-15,-0.30537500,-8.2457567e-19,4.9298642e-18
7.1946772,80.087173,47.145469,127.23264,5.6488753e-08,1.4422174e-05,6.1483337e-17,9.2081227e-15,-0.25890922,-5.2704167e-19,3.2517358e-18
7.3622626,48.493223,37.484572,85.977795,1.3121961e-07,3.2167951e-05,8.6174959e-17,1.6329631e-14,-0.12804063,-1.7088171e-19,1.0875217e-18
7.5337516,33.029964,28.183907,61.213871,4.1169959e-07,8.2130280e-05,1.8415731e-16,3.1347644e-14,-0.079166002,-7.3008067e-20,4.7907468e-19
7.7092355,25.450241,22.575324,48.025564,1.1895869e-06,0.00019624913,4.1000437e-16,5.9998744e-14,-0.059862214,-4.2051141e-20,2.8439964e-19
7.8888065,22.616606,20.654533,43.271139,2.6499559e-06,0.00034895707,8.1164572e-16,9.7608535e-14,-0.045343694,-2.7872722e-20,1.9421747e-19
8.0725603,21.791323,20.271791,42.063113,4.6529361e-06,0.00048190943,1.3731282e-15,1.3229943e-13,-0.036125043,-2.0971004e-20,1.5049912e-19
8.2605947,21.937725,20.626545,42.564270,6.6875012e-06,0.00054438054,1.9868079e-15,1.5206508e-13,-0.030804716,-1.7585046e-20,1.2993345e-19
8.4530085,22.733861,21.491882,44.225743,8.0130263e-06,0.00051418017,2.4670059e-15,1.4965464e-13,-0.028082715,-1.6191483e-20,1.2313794e-19
8.6499042,24.202681,22.919546,47.122227,7.9695871e-06,0.00040348870,2.6121597e-15,1.2523849e-13,-0.027229934,-1.6264822e-20,1.2727849e-19
8.8513868,26.761510,25.320030,52.081540,6.3708198e-06,0.00025286007,2.3089066e-15,8.6705149e-14,-0.027677359,-1.7770398e-20,1.4304840e-19
9.0575618,31.892248,30.196618,62.088866,3.8033080e-06,0.00011563830,1.6426576e-15,4.7289031e-14,-0.027309716,-2.0334483e-20,1.6833923e-19
9.2685393,44.840284,43.307868,88.148151,1.5293759e-06,3.4163235e-05,9.2871616e-16,2.0036701e-14,-0.017384547,-1.7880915e-20,1.5219478e-19
9.4844312,71.294482,69.966073,141.26056,5.1205339e-07,9.0210420e-06,4.9439217e-16,8.5476086e-15,-0.0094039580,-1.5085110e-20,1.3198154e-19
9.7053517,105.42491,98.740904,204.16581,1.9902519e-07,3.4972845e-06,2.8415265e-16,4.6765812e-15,-0.032738124,-7.3881920e-20,6.6430475e-19
9.9314196,139.37009,97.665740,237.03583,9.3761810e-08,2.8098463e-06,1.7698350e-16,3.7164237e-15,-0.17594114,-4.4879893e-19,4.1462165e-18
10.162752,135.50100,73.015399,208.51640,6.9542264e-08,4.3101231e-06,1.2773400e-16,4.2619128e-15,-0.29966757,-6.5478498e-19,6.2141583e-18
10.399472,93.917791,56.949456,150.86725,9.2940362e-08,7.5120002e-06,1.1822045e-16,5.7935610e-15,-0.24503884,-3.7728650e-19,3.6775309e-18
10.641707,67.951004,50.146806,118.09781,1.5023722e-07,1.1386760e-05,1.3825281e-16,7.7329259e-15,-0.15075808,-1.7699335e-19,1.7716005e-18
10.889584,58.558818,48.063944,106.62276,2.2160259e-07,1.4303083e-05,1.7573876e-16,9.3099957e-15,-0.098429951,-1.0164168e-19,1.0445538e-18
11.143235,56.878848,48.729322,105.60817,2.7747706e-07,1.4890315e-05,2.1373631e-16,9.8264054e-15,-0.077167575,-7.6904301e-20,8.1131593e-19
11.402795,59.679361,51.791434,111.47080,2.8914304e-07,1.2804345e-05,2.3368850e-16,8.9808147e-15,-0.070762277,-7.2537907e-20,7.8545033e-19
11.668400,67.144732,58.243657,125.38839,2.4565587e-07,8.9248047e-06,2.2337754e-16,7.0395967e-15,-0.070988036,-7.9778502e-20,8.8652514e-19
11.940192,82.910714,71.621768,154.53248,1.6518049e-07,4.8751074e-06,1.8546837e-16,4.7285681e-15,-0.073052251,-9.8626271e-20,1.1245781e-18
12.218315,116.55458,101.19356,217.74814,8.7184466e-08,2.0737664e-06,1.3763849e-16,2.8419285e-15,-0.070544887,-1.3082990e-19,1.5305203e-18
12.502915,173.23623,152.34463,325.58086,4.1535020e-08,8.4876594e-07,9.8998857e-17,1.7511184e-15,-0.064167152,-1.7348258e-19,2.0819442e-18
12.794145,216.58585,187.01647,403.60231,2.2474496e-08,4.9699147e-07,7.3709229e-17,1.2587202e-15,-0.073263651,-2.3942551e-19,2.9472287e-18
13.092159,219.70715,173.87145,393.57860,1.5156835e-08,4.5955586e-07,5.7792057e-17,1.0820990e-15,-0.11645882,-3.6192661e-19,4.5692586e-18
13.397116,197.61440,148.03906,345.65346,1.3407893e-08,5.2601607e-07,4.8597153e-17,1.0545709e-15,-0.14342496,-3.8178019e-19,4.9428109e-18
13.709175,174.61167,134.53004,309.14171,1.4012683e-08,5.8209895e-07,4.3963016e-17,1.0605143e-15,-0.12965454,-3.0106821e-19,3.9968393e-18
14.028502,161.71873,134.26040,295.97913,1.4625008e-08,5.6235354e-07,4.1687060e-17,1.0224870e-15,-0.092771142,-2.0118893e-19,2.7384516e-18
14.355268,159.71025,146.94274,306.65299,1.3723126e-08,4.5783386e-07,3.9761987e-17,9.1107989e-16,-0.041635053,-9.1260833e-20,1.2734856e-18
14.689645,164.95599,177.32939,342.28538,1.1090480e-08,3.1075324e-07,3.6971038e-17,7.4627141e-16,0.036149376,8.6286951e-20,-1.2343280e-18
15.031810,170.57585,235.59663,406.17248,7.7744186e-09,1.8062582e-07,3.3231857e-17,5.7630096e-16,0.16008170,4.4241004e-19,-6.4870096e-18
